,date,meantempi,mintempi,maxtempi,datenumber
273,2016-09-30,60,58,61,736237.0
274,2016-10-01,59,50,68,736238.0
275,2016-10-02,60,50,69,736239.0
276,2016-10-03,59,51,67,736240.0
277,2016-10-04,62,49,74,736241.0
278,2016-10-05,70,60,80,736242.0
279,2016-10-06,68,56,79,736243.0
280,2016-10-07,66,50,82,736244.0
281,2016-10-08,50,41,58,736245.0
282,2016-10-09,49,37,61,736246.0
283,2016-10-10,51,37,64,736247.0
284,2016-10-11,61,51,71,736248.0
285,2016-10-12,62,50,73,736249.0
286,2016-10-13,48,38,57,736250.0
287,2016-10-14,48,34,62,736251.0
288,2016-10-15,58,46,70,736252.0
289,2016-10-16,65,62,68,736253.0
290,2016-10-17,70,63,77,736254.0
291,2016-10-18,64,51,77,736255.0
292,2016-10-19,60,47,72,736256.0
293,2016-10-20,53,49,56,736257.0
294,2016-10-21,46,41,51,736258.0
295,2016-10-22,45,35,55,736259.0
296,2016-10-23,54,40,68,736260.0
297,2016-10-24,46,36,55,736261.0
298,2016-10-25,43,31,54,736262.0
299,2016-10-26,37,34,40,736263.0
300,2016-10-27,40,34,45,736264.0
301,2016-10-28,45,31,58,736265.0
302,2016-10-29,62,54,70,736266.0
303,2016-10-30,46,37,54,736267.0
304,2016-10-31,42,30,54,736268.0
305,2016-11-01,63,48,77,736269.0
306,2016-11-02,59,53,64,736270.0
307,2016-11-03,52,45,58,736271.0
308,2016-11-04,46,35,57,736272.0
309,2016-11-05,54,40,67,736273.0
310,2016-11-06,51,34,68,736274.0
311,2016-11-07,53,39,67,736275.0
312,2016-11-08,52,44,59,736276.0
313,2016-11-09,48,40,56,736277.0
314,2016-11-10,52,40,64,736278.0
315,2016-11-11,43,31,54,736279.0
316,2016-11-12,37,25,49,736280.0
317,2016-11-13,46,35,57,736281.0
318,2016-11-14,49,39,58,736282.0
319,2016-11-15,48,36,60,736283.0
320,2016-11-16,46,35,57,736284.0
321,2016-11-17,50,35,65,736285.0
322,2016-11-18,60,48,72,736286.0
323,2016-11-19,40,31,48,736287.0
324,2016-11-20,30,28,32,736288.0
325,2016-11-21,31,24,38,736289.0
326,2016-11-22,30,20,40,736290.0
327,2016-11-23,32,25,38,736291.0
328,2016-11-24,41,38,44,736292.0
329,2016-11-25,39,37,41,736293.0
330,2016-11-26,36,32,40,736294.0
331,2016-11-27,38,30,46,736295.0
332,2016-11-28,44,37,50,736296.0
333,2016-11-29,53,47,58,736297.0
334,2016-11-30,45,37,52,736298.0
335,2016-12-01,39,35,42,736299.0
336,2016-12-02,37,35,39,736300.0
337,2016-12-03,36,35,37,736301.0
338,2016-12-04,35,32,37,736302.0
339,2016-12-05,33,27,39,736303.0
340,2016-12-06,33,23,42,736304.0
341,2016-12-07,34,30,38,736305.0
342,2016-12-08,28,25,30,736306.0
343,2016-12-09,27,23,30,736307.0
344,2016-12-10,23,20,26,736308.0
345,2016-12-11,26,22,30,736309.0
346,2016-12-12,28,22,34,736310.0
347,2016-12-13,18,9,27,736311.0
348,2016-12-14,15,9,21,736312.0
349,2016-12-15,10,3,17,736313.0
350,2016-12-16,13,7,18,736314.0
351,2016-12-17,21,16,26,736315.0
352,2016-12-18,15,8,21,736316.0
353,2016-12-19,11,8,14,736317.0
354,2016-12-20,20,9,31,736318.0
355,2016-12-21,27,20,33,736319.0
356,2016-12-22,34,29,39,736320.0
357,2016-12-23,32,27,36,736321.0
358,2016-12-24,36,34,38,736322.0
359,2016-12-25,35,33,36,736323.0
360,2016-12-26,45,34,55,736324.0
361,2016-12-27,31,27,34,736325.0
362,2016-12-28,33,26,39,736326.0
363,2016-12-29,34,29,38,736327.0
364,2016-12-30,28,26,30,736328.0
365,2016-12-31,36,28,43,736329.0
