,date,meantempi,mintempi,maxtempi,datenumber
0,2016-01-01,27,24,29,735964.0
1,2016-01-02,32,28,35,735965.0
2,2016-01-03,29,25,33,735966.0
3,2016-01-04,17,7,27,735967.0
4,2016-01-05,19,8,29,735968.0
5,2016-01-06,28,20,36,735969.0
6,2016-01-07,35,28,42,735970.0
7,2016-01-08,35,30,39,735971.0
8,2016-01-09,40,38,42,735972.0
9,2016-01-10,27,16,38,735973.0
10,2016-01-11,13,10,16,735974.0
11,2016-01-12,18,13,23,735975.0
12,2016-01-13,15,12,18,735976.0
13,2016-01-14,26,18,34,735977.0
14,2016-01-15,32,22,42,735978.0
15,2016-01-16,30,26,33,735979.0
16,2016-01-17,18,9,26,735980.0
17,2016-01-18,11,7,15,735981.0
18,2016-01-19,13,5,21,735982.0
19,2016-01-20,17,12,22,735983.0
20,2016-01-21,19,12,26,735984.0
21,2016-01-22,24,18,29,735985.0
22,2016-01-23,22,17,26,735986.0
23,2016-01-24,24,15,32,735987.0
24,2016-01-25,33,26,40,735988.0
25,2016-01-26,36,29,43,735989.0
26,2016-01-27,27,24,29,735990.0
27,2016-01-28,30,26,34,735991.0
28,2016-01-29,25,20,29,735992.0
29,2016-01-30,38,29,47,735993.0
30,2016-01-31,44,38,49,735994.0
31,2016-02-01,35,25,44,735995.0
32,2016-02-02,31,23,39,735996.0
33,2016-02-03,38,31,44,735997.0
34,2016-02-04,26,20,32,735998.0
35,2016-02-05,27,18,35,735999.0
36,2016-02-06,28,19,37,736000.0
37,2016-02-07,40,32,47,736001.0
38,2016-02-08,35,29,40,736002.0
39,2016-02-09,28,22,33,736003.0
40,2016-02-10,17,11,22,736004.0
41,2016-02-11,17,10,23,736005.0
42,2016-02-12,14,6,22,736006.0
43,2016-02-13,9,2,15,736007.0
44,2016-02-14,9,0,18,736008.0
45,2016-02-15,21,15,26,736009.0
46,2016-02-16,27,25,29,736010.0
47,2016-02-17,21,11,30,736011.0
48,2016-02-18,19,4,34,736012.0
49,2016-02-19,47,33,60,736013.0
50,2016-02-20,46,38,54,736014.0
51,2016-02-21,37,32,41,736015.0
52,2016-02-22,35,29,40,736016.0
53,2016-02-23,34,22,45,736017.0
54,2016-02-24,30,28,32,736018.0
55,2016-02-25,29,24,34,736019.0
56,2016-02-26,25,18,32,736020.0
57,2016-02-27,35,25,44,736021.0
58,2016-02-28,46,36,56,736022.0
59,2016-02-29,34,24,44,736023.0
60,2016-03-01,22,19,24,736024.0
61,2016-03-02,19,11,27,736025.0
62,2016-03-03,19,9,28,736026.0
63,2016-03-04,20,5,34,736027.0
64,2016-03-05,29,24,33,736028.0
65,2016-03-06,28,14,41,736029.0
66,2016-03-07,50,41,58,736030.0
67,2016-03-08,60,49,70,736031.0
68,2016-03-09,62,56,68,736032.0
69,2016-03-10,49,41,57,736033.0
70,2016-03-11,43,31,55,736034.0
71,2016-03-12,44,29,59,736035.0
72,2016-03-13,47,44,49,736036.0
73,2016-03-14,49,45,52,736037.0
74,2016-03-15,49,41,57,736038.0
75,2016-03-16,51,46,56,736039.0
76,2016-03-17,42,33,50,736040.0
77,2016-03-18,39,29,48,736041.0
78,2016-03-19,33,25,40,736042.0
79,2016-03-20,33,22,43,736043.0
80,2016-03-21,36,27,45,736044.0
81,2016-03-22,47,33,60,736045.0
82,2016-03-23,40,33,47,736046.0
83,2016-03-24,34,29,39,736047.0
84,2016-03-25,35,26,44,736048.0
85,2016-03-26,39,26,52,736049.0
86,2016-03-27,52,34,70,736050.0
87,2016-03-28,40,34,46,736051.0
88,2016-03-29,40,29,51,736052.0
89,2016-03-30,48,35,61,736053.0
90,2016-03-31,53,43,63,736054.0
91,2016-04-01,42,34,49,736055.0
92,2016-04-02,32,25,38,736056.0
93,2016-04-03,36,20,52,736057.0
94,2016-04-04,29,24,33,736058.0
95,2016-04-05,31,19,42,736059.0
96,2016-04-06,40,32,47,736060.0
97,2016-04-07,35,31,39,736061.0
98,2016-04-08,33,26,40,736062.0
99,2016-04-09,28,23,32,736063.0
100,2016-04-10,34,27,41,736064.0
101,2016-04-11,44,34,53,736065.0
102,2016-04-12,39,30,47,736066.0
103,2016-04-13,41,29,53,736067.0
104,2016-04-14,46,31,60,736068.0
105,2016-04-15,52,33,70,736069.0
106,2016-04-16,58,40,76,736070.0
107,2016-04-17,60,41,78,736071.0
108,2016-04-18,66,50,81,736072.0
109,2016-04-19,53,43,62,736073.0
110,2016-04-20,57,45,68,736074.0
111,2016-04-21,55,48,62,736075.0
112,2016-04-22,49,41,57,736076.0
113,2016-04-23,46,34,58,736077.0
114,2016-04-24,54,40,68,736078.0
115,2016-04-25,63,46,79,736079.0
116,2016-04-26,44,36,51,736080.0
117,2016-04-27,47,33,60,736081.0
118,2016-04-28,43,38,47,736082.0
119,2016-04-29,46,40,51,736083.0
120,2016-04-30,46,36,56,736084.0
121,2016-05-01,47,43,51,736085.0
122,2016-05-02,49,42,55,736086.0
123,2016-05-03,51,36,66,736087.0
124,2016-05-04,51,47,54,736088.0
125,2016-05-05,56,45,67,736089.0
126,2016-05-06,57,41,72,736090.0
127,2016-05-07,60,47,72,736091.0
128,2016-05-08,52,37,67,736092.0
129,2016-05-09,52,37,67,736093.0
130,2016-05-10,51,48,54,736094.0
131,2016-05-11,59,49,68,736095.0
132,2016-05-12,65,56,73,736096.0
133,2016-05-13,57,50,64,736097.0
134,2016-05-14,45,39,50,736098.0
135,2016-05-15,41,33,48,736099.0
136,2016-05-16,53,38,68,736100.0
137,2016-05-17,55,45,64,736101.0
138,2016-05-18,52,38,66,736102.0
139,2016-05-19,56,40,71,736103.0
140,2016-05-20,57,43,70,736104.0
141,2016-05-21,63,51,74,736105.0
142,2016-05-22,59,48,70,736106.0
143,2016-05-23,60,42,78,736107.0
144,2016-05-24,67,49,84,736108.0
145,2016-05-25,75,64,85,736109.0
146,2016-05-26,74,63,84,736110.0
147,2016-05-27,74,63,85,736111.0
148,2016-05-28,77,67,86,736112.0
149,2016-05-29,74,64,84,736113.0
150,2016-05-30,72,60,83,736114.0
151,2016-05-31,68,53,83,736115.0
152,2016-06-01,70,59,80,736116.0
153,2016-06-02,69,57,80,736117.0
154,2016-06-03,66,51,81,736118.0
155,2016-06-04,70,57,83,736119.0
156,2016-06-05,65,60,70,736120.0
157,2016-06-06,68,55,80,736121.0
158,2016-06-07,56,48,63,736122.0
159,2016-06-08,57,45,69,736123.0
160,2016-06-09,58,44,71,736124.0
161,2016-06-10,70,54,86,736125.0
162,2016-06-11,81,71,91,736126.0
163,2016-06-12,69,56,81,736127.0
164,2016-06-13,61,50,72,736128.0
165,2016-06-14,68,60,76,736129.0
166,2016-06-15,75,62,87,736130.0
167,2016-06-16,67,62,71,736131.0
168,2016-06-17,70,53,87,736132.0
169,2016-06-18,73,56,90,736133.0
170,2016-06-19,76,61,91,736134.0
171,2016-06-20,78,65,90,736135.0
172,2016-06-21,67,53,81,736136.0
173,2016-06-22,69,54,84,736137.0
174,2016-06-23,69,59,78,736138.0
175,2016-06-24,69,53,85,736139.0
176,2016-06-25,75,60,89,736140.0
177,2016-06-26,79,70,87,736141.0
178,2016-06-27,78,65,90,736142.0
179,2016-06-28,61,52,70,736143.0
180,2016-06-29,63,46,80,736144.0
181,2016-06-30,67,51,82,736145.0
182,2016-07-01,63,52,74,736146.0
183,2016-07-02,64,49,79,736147.0
184,2016-07-03,65,50,80,736148.0
185,2016-07-04,67,51,83,736149.0
186,2016-07-05,76,65,86,736150.0
187,2016-07-06,78,67,88,736151.0
188,2016-07-07,77,64,89,736152.0
189,2016-07-08,78,66,90,736153.0
190,2016-07-09,71,62,80,736154.0
191,2016-07-10,70,56,83,736155.0
192,2016-07-11,75,63,86,736156.0
193,2016-07-12,80,68,92,736157.0
194,2016-07-13,78,69,87,736158.0
195,2016-07-14,77,69,85,736159.0
196,2016-07-15,70,62,77,736160.0
197,2016-07-16,67,56,77,736161.0
198,2016-07-17,70,53,87,736162.0
199,2016-07-18,76,66,86,736163.0
200,2016-07-19,73,62,84,736164.0
201,2016-07-20,77,62,91,736165.0
202,2016-07-21,79,68,89,736166.0
203,2016-07-22,82,73,91,736167.0
204,2016-07-23,80,66,94,736168.0
205,2016-07-24,79,70,87,736169.0
206,2016-07-25,77,67,87,736170.0
207,2016-07-26,74,61,87,736171.0
208,2016-07-27,77,64,89,736172.0
209,2016-07-28,75,63,86,736173.0
210,2016-07-29,72,64,79,736174.0
211,2016-07-30,67,63,71,736175.0
212,2016-07-31,72,64,79,736176.0
213,2016-08-01,72,59,84,736177.0
214,2016-08-02,75,62,87,736178.0
215,2016-08-03,78,64,92,736179.0
216,2016-08-04,80,67,93,736180.0
217,2016-08-05,78,66,90,736181.0
218,2016-08-06,73,60,85,736182.0
219,2016-08-07,71,59,83,736183.0
220,2016-08-08,70,54,85,736184.0
221,2016-08-09,74,57,90,736185.0
222,2016-08-10,78,63,93,736186.0
223,2016-08-11,82,69,94,736187.0
224,2016-08-12,83,74,91,736188.0
225,2016-08-13,78,70,86,736189.0
226,2016-08-14,75,66,83,736190.0
227,2016-08-15,73,63,82,736191.0
228,2016-08-16,76,69,83,736192.0
229,2016-08-17,75,66,84,736193.0
230,2016-08-18,73,62,84,736194.0
231,2016-08-19,75,68,82,736195.0
232,2016-08-20,75,67,82,736196.0
233,2016-08-21,66,59,73,736197.0
234,2016-08-22,66,53,78,736198.0
235,2016-08-23,69,57,80,736199.0
236,2016-08-24,73,63,82,736200.0
237,2016-08-25,73,63,83,736201.0
238,2016-08-26,72,61,82,736202.0
239,2016-08-27,70,62,78,736203.0
240,2016-08-28,76,67,84,736204.0
241,2016-08-29,73,61,85,736205.0
242,2016-08-30,76,69,83,736206.0
243,2016-08-31,69,61,77,736207.0
244,2016-09-01,65,56,73,736208.0
245,2016-09-02,63,51,74,736209.0
246,2016-09-03,63,49,77,736210.0
247,2016-09-04,65,50,79,736211.0
248,2016-09-05,73,60,85,736212.0
249,2016-09-06,82,73,90,736213.0
250,2016-09-07,78,70,86,736214.0
251,2016-09-08,74,67,80,736215.0
252,2016-09-09,73,65,80,736216.0
253,2016-09-10,66,58,73,736217.0
254,2016-09-11,63,53,72,736218.0
255,2016-09-12,65,54,76,736219.0
256,2016-09-13,70,57,82,736220.0
257,2016-09-14,65,56,73,736221.0
258,2016-09-15,61,49,73,736222.0
259,2016-09-16,66,53,79,736223.0
260,2016-09-17,71,64,78,736224.0
261,2016-09-18,68,57,78,736225.0
262,2016-09-19,68,53,83,736226.0
263,2016-09-20,70,57,82,736227.0
264,2016-09-21,68,54,81,736228.0
265,2016-09-22,72,61,83,736229.0
266,2016-09-23,65,58,71,736230.0
267,2016-09-24,60,51,69,736231.0
268,2016-09-25,62,49,75,736232.0
269,2016-09-26,60,51,68,736233.0
270,2016-09-27,58,50,66,736234.0
271,2016-09-28,57,48,66,736235.0
272,2016-09-29,58,55,61,736236.0
