,coolingdegreedays,coolingdegreedaysnormal,date,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,0,0,2018-01-01,0,0,0,57,41,,7,-14,88,30.61,1036,12,-11,10,16,20,32,2,-17,30.56,1035,8,-13,8,13,288,,10,15,-1,-18,66,30.47,1032,3,-16,2,4,5,8,0,0,57,41,T,T,T,T,,0,0,0,2576,2593,17.80,45.21,,,,,1,4.00,10.16,T,T,0,0
1,0,0,2018-01-02,0,0,0,55,41,,9,-13,84,30.58,1035,18,-8,10,16,24,39,5,-15,30.40,1029,10,-12,9,15,229,,15,24,-8,-22,60,30.18,1022,2,-17,5,8,5,8,0,0,112,82,T,T,T,T,,0,0,0,2631,2634,17.80,45.21,,,,,1,4.00,10.16,T,T,0,0
2,0,0,2018-01-03,0,0,0,55,41,,11,-12,88,30.16,1021,17,-8,10,16,24,39,4,-16,30.01,1016,10,-12,5,8,218,,11,18,-7,-22,62,29.93,1013,2,-17,1,2,8,13,0,0,167,123,0.20,0.51,0.02,0.51,,0,0,0,2686,2675,18.00,45.72,,,,,1,3.00,7.62,0.20,0.51,0,0
3,0,0,2018-01-04,0,0,0,60,41,,7,-14,87,30.26,1025,14,-10,10,16,20,32,-1,-18,30.18,1022,5,-15,10,15,323,,8,13,-8,-22,57,30.06,1018,-5,-21,2,3,0,0,0,0,227,164,0.20,0.51,T,T,,0,0,0,2746,2716,18.00,45.72,,,,,0,4.00,10.16,T,T,0,0
4,0,0,2018-01-05,0,0,0,66,41,,-4,-20,90,30.45,1031,6,-14,10,16,14,23,-7,-22,30.36,1028,-1,-18,10,16,303,,5,8,-10,-23,55,30.26,1025,-8,-22,10,16,0,0,0,0,293,205,0.20,0.51,T,T,,0,0,0,2812,2757,18.00,45.72,,,,,0,4.00,10.16,T,T,0,0
5,0,0,2018-01-06,0,0,0,63,41,,2,-17,100,30.62,1037,11,-12,10,16,10,16,-5,-21,30.55,1034,2,-17,10,16,140,,3,4,-9,-23,50,30.39,1029,-7,-22,6,10,0,0,0,0,356,246,0.30,0.76,T,T,,0,0,0,2875,2798,18.10,45.97,,,,,1,4.00,10.16,T,T,0,0
6,0,0,2018-01-07,0,0,0,47,41,,27,-3,83,30.50,1033,31,-1,10,16,24,39,11,-12,30.18,1022,18,-8,9,15,201,,16,25,-1,-18,55,29.91,1013,4,-16,2,4,9,14,0,0,403,287,0.30,0.76,0.02,0.51,,1,0,0,2922,2839,18.10,45.97,,,,,1,4.00,10.16,T,T,0,0
7,0,0,2018-01-08,0,0,0,32,41,,32,0,100,30.10,1019,37,3,10,16,25,40,29,-2,29.90,1012,33,1,5,7,234,,15,24,26,-3,70,29.82,1010,28,-2,1,1,8,13,0,0,435,328,1.40,3.56,0.17,4.32,,0,0,0,2954,2880,19.20,48.77,,,,,1,4.00,10.16,1.10,2.79,0,0
8,0,0,2018-01-09,1,0,0,36,41,,30,-1,100,30.33,1027,36,2,8,13,14,23,26,-3,30.25,1024,29,-2,3,5,190,,4,6,22,-6,75,30.12,1020,22,-6,0,0,0,0,0,0,471,369,1.40,3.56,0.00,0.00,,0,0,0,2990,2921,19.20,48.77,,,,,0,5.00,12.70,0.00,0.00,0,0
9,0,0,2018-01-10,0,0,0,26,42,,49,9,100,30.26,1025,50,10,6,10,18,29,35,2,30.01,1016,39,4,3,5,166,,13,21,25,-4,92,29.85,1011,27,-3,1,2,8,13,0,0,497,411,1.40,3.56,0.01,0.25,,1,0,0,3016,2963,19.20,48.77,,,,,0,5.00,12.70,0.00,0.00,0,0
