,coolingdegreedays,coolingdegreedaysnormal,date,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,0,0,2015-01-01,0,0,0,41,41,,20,-7,69,30.08,1019,29,-2,10,16,26,42,15,-9,29.99,1015,24,-4,10,15,238,,17,27,10,-12,62,29.88,1012,19,-7,4,6,8,13,0,0,41,41,T,T,T,T,,0,0,0,2666,2593,7.70,19.56,,,,,1,T,T,T,T,0,0
1,0,0,2015-01-02,0,0,0,37,41,,21,-6,81,30.36,1028,34,1,10,16,18,29,18,-8,30.24,1024,28,-2,10,16,261,,6,10,15,-9,51,30.06,1018,22,-6,9,14,0,0,0,0,78,82,T,T,T,T,,0,0,0,2703,2634,7.70,19.56,,,,,0,0.00,0.00,T,T,0,0
2,0,0,2015-01-03,1,0,0,37,41,,32,0,96,30.29,1026,33,1,9,14,15,24,28,-2,29.95,1014,28,-2,3,5,103,,7,11,19,-7,75,29.75,1007,22,-6,0,1,0,0,0,0,115,123,0.60,1.52,0.47,11.94,,1,0,0,2740,2675,8.30,21.08,,,,,1,0.00,0.00,0.60,1.52,0,0
3,0,0,2015-01-04,1,0,0,42,41,,31,-1,100,30.25,1024,32,0,10,16,25,40,23,-5,29.86,1011,23,-5,4,6,293,,11,18,7,-14,67,29.62,1003,14,-10,0,0,0,0,0,0,157,164,1.50,3.81,0.15,3.81,,1,0,0,2782,2716,9.20,23.37,,,,,1,T,T,0.90,2.29,0,0
4,0,0,2015-01-05,0,0,0,56,41,,5,-15,76,30.54,1034,14,-10,10,16,25,40,0,-18,30.45,1031,9,-13,5,9,272,,13,21,-3,-19,63,30.29,1026,4,-16,1,1,7,11,0,0,213,205,2.70,6.86,0.04,1.02,,0,0,0,2838,2757,10.40,26.42,,,,,1,2.00,5.08,1.20,3.05,0,0
5,0,0,2015-01-06,0,0,0,54,41,,10,-12,80,30.40,1029,17,-8,10,16,26,42,5,-15,30.22,1023,11,-12,4,7,237,,13,21,-1,-18,67,30.04,1017,5,-15,1,1,5,8,0,0,267,246,3.60,9.14,0.07,1.78,,0,0,0,2892,2798,11.30,28.70,,,,,1,3.00,7.62,0.90,2.29,0,0
6,0,0,2015-01-07,0,0,0,58,41,,4,-16,87,30.63,1037,13,-11,10,16,22,35,-3,-19,30.43,1030,7,-14,10,15,299,,14,22,-6,-21,50,30.10,1019,1,-17,2,4,8,13,0,0,325,287,3.60,9.14,T,T,,0,0,0,2950,2839,11.30,28.70,,,,,1,3.00,7.62,T,T,0,0
7,0,0,2015-01-08,0,0,0,59,41,,9,-13,86,30.50,1033,13,-11,10,16,28,45,0,-18,30.00,1016,6,-14,4,7,209,,19,30,-10,-23,56,29.66,1004,-1,-18,1,1,12,19,0,0,384,328,4.70,11.94,0.05,1.27,,0,0,0,3009,2880,12.40,31.50,,,,,1,4.00,10.16,1.10,2.79,0,0
8,0,0,2015-01-09,0,0,0,56,41,,11,-12,88,30.33,1027,15,-9,10,16,28,45,3,-16,30.05,1017,9,-13,3,5,266,,15,23,-3,-19,63,29.66,1004,3,-16,0,1,7,11,0,0,440,369,6.00,15.24,0.06,1.52,,0,0,0,3065,2921,13.70,34.80,,,,,1,5.00,12.70,1.30,3.30,0,0
9,0,0,2015-01-10,0,0,0,56,42,,4,-16,87,30.43,1030,16,-9,10,16,22,35,0,-18,30.37,1028,9,-13,7,12,207,,13,21,-3,-19,58,30.27,1025,2,-17,2,4,8,13,0,0,496,411,6.00,15.24,T,T,,0,0,0,3121,2963,13.70,34.80,,,,,1,5.00,12.70,T,T,0,0
