,coolingdegreedays,coolingdegreedaysnormal,date,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,0,0,2016-01-01,0,0,0,38,41,,22,-6,88,30.15,1021,29,-2,10,16,24,39,19,-7,30.10,1019,27,-3,6,9,244,,16,25,18,-8,63,30.04,1017,24,-4,1,2,10,16,0,0,38,41,0.70,1.78,0.04,1.02,,0,0,0,1943,2593,10.80,27.43,,,,,1,1.00,2.54,0.70,1.78,0,0
1,0,0,2016-01-02,0,0,0,33,41,,25,-4,78,30.07,1018,35,2,10,16,23,37,22,-6,29.97,1015,32,0,10,16,238,,15,24,21,-6,63,29.82,1010,28,-2,10,16,8,13,0,0,71,82,0.70,1.78,0.00,0.00,,0,0,0,1976,2634,10.80,27.43,,,,,0,1.00,2.54,0.00,0.00,0,0
2,0,0,2016-01-03,0,0,0,36,41,,25,-4,81,30.21,1023,33,1,10,16,23,37,21,-6,30.02,1016,29,-2,10,16,319,,10,16,15,-9,53,29.83,1010,25,-4,5,8,5,8,0,0,107,123,0.70,1.78,T,T,,0,0,0,2012,2675,10.80,27.43,,,,,1,1.00,2.54,T,T,0,0
3,0,0,2016-01-04,0,0,0,48,41,,21,-6,92,30.64,1037,27,-3,10,16,17,27,15,-9,30.38,1029,17,-8,6,9,21,,8,12,7,-14,67,30.20,1023,7,-14,1,2,0,0,0,0,155,164,0.90,2.29,T,T,,0,0,0,2060,2716,11.00,27.94,,,,,1,1.00,2.54,0.20,0.51,0,0
4,0,0,2016-01-05,0,0,0,46,41,,15,-9,84,30.66,1038,29,-2,10,16,16,26,11,-12,30.56,1035,19,-7,10,16,187,,8,12,5,-15,53,30.45,1031,8,-13,10,16,0,0,0,0,201,205,0.90,2.29,0.00,0.00,,0,0,0,2106,2757,11.00,27.94,,,,,0,1.00,2.54,0.00,0.00,0,0
5,0,0,2016-01-06,0,0,0,37,41,,20,-7,73,30.43,1030,36,2,10,16,15,24,15,-9,30.34,1027,28,-2,10,16,193,,8,12,11,-12,51,30.24,1024,20,-7,10,16,5,8,0,0,238,246,0.90,2.29,0.00,0.00,,0,0,0,2143,2798,11.00,27.94,,,,,0,0.00,0.00,0.00,0.00,0,0
6,0,0,2016-01-07,0,0,0,30,41,,22,-6,75,30.24,1024,42,6,10,16,12,19,21,-6,30.17,1022,35,2,10,16,155,,5,8,19,-7,41,30.09,1019,28,-2,10,16,0,0,0,0,268,287,0.90,2.29,0.00,0.00,,0,0,0,2173,2839,11.00,27.94,,,,,0,1.00,2.54,0.00,0.00,0,0
7,0,0,2016-01-08,0,0,0,30,41,,38,3,100,30.07,1018,39,4,10,16,12,19,31,-1,29.87,1011,35,2,6,9,137,,7,11,18,-8,51,29.76,1008,30,-1,1,1,0,0,0,0,298,328,0.90,2.29,0.15,3.81,,1,0,0,2203,2880,11.00,27.94,,,,,0,T,T,0.00,0.00,0,0
8,0,0,2016-01-09,1,0,0,25,41,,41,5,100,29.86,1011,42,6,10,16,13,21,39,4,29.77,1008,40,4,3,4,205,,7,12,36,2,89,29.59,1002,38,3,0,0,0,0,0,0,323,369,0.90,2.29,0.53,13.46,,1,0,0,2228,2921,11.00,27.94,,,,,0,T,T,0.00,0.00,0,0
9,0,0,2016-01-10,0,0,0,38,42,,37,3,92,29.93,1013,38,3,10,16,31,50,18,-8,29.68,1005,27,-3,3,5,308,,18,29,7,-14,61,29.52,1000,16,-9,1,1,9,14,0,0,361,411,1.90,4.83,0.18,4.57,,1,0,0,2266,2963,12.00,30.48,,,,,1,T,T,1.00,2.54,0,0
10,0,0,2016-01-11,0,0,0,52,42,,11,-12,88,30.08,1019,16,-9,10,16,24,39,7,-14,29.95,1014,13,-11,4,6,238,,12,20,1,-17,61,29.72,1006,10,-12,1,1,8,13,0,0,413,453,3.60,9.14,0.08,2.03,,0,0,0,2318,3005,13.70,34.80,,,,,1,2.00,5.08,1.70,4.32,0,0
