,date,meantempi,mintempi,maxtempi,datenumber
0,2014-01-01,12,9,14,735234.0
1,2014-01-02,5,-3,13,735235.0
2,2014-01-03,1,-11,13,735236.0
3,2014-01-04,22,13,31,735237.0
4,2014-01-05,23,16,29,735238.0
5,2014-01-06,2,-12,16,735239.0
6,2014-01-07,-5,-13,2,735240.0
7,2014-01-08,8,-1,17,735241.0
8,2014-01-09,12,2,21,735242.0
9,2014-01-10,30,21,39,735243.0
10,2014-01-11,37,32,41,735244.0
11,2014-01-12,35,31,39,735245.0
12,2014-01-13,39,34,44,735246.0
13,2014-01-14,32,26,37,735247.0
14,2014-01-15,23,18,27,735248.0
15,2014-01-16,22,16,28,735249.0
16,2014-01-17,23,15,30,735250.0
17,2014-01-18,17,13,21,735251.0
18,2014-01-19,20,11,29,735252.0
19,2014-01-20,20,9,30,735253.0
20,2014-01-21,2,-5,9,735254.0
21,2014-01-22,4,-3,11,735255.0
22,2014-01-23,6,-2,13,735256.0
23,2014-01-24,9,-1,19,735257.0
24,2014-01-25,14,3,25,735258.0
25,2014-01-26,14,2,25,735259.0
26,2014-01-27,5,-6,15,735260.0
27,2014-01-28,0,-9,8,735261.0
28,2014-01-29,8,-3,19,735262.0
29,2014-01-30,20,12,28,735263.0
30,2014-01-31,26,21,31,735264.0
31,2014-02-01,23,18,28,735265.0
32,2014-02-02,14,5,23,735266.0
33,2014-02-03,6,-10,22,735267.0
34,2014-02-04,15,5,25,735268.0
35,2014-02-05,15,8,22,735269.0
36,2014-02-06,12,5,18,735270.0
37,2014-02-07,8,2,14,735271.0
38,2014-02-08,9,0,18,735272.0
39,2014-02-09,17,12,22,735273.0
40,2014-02-10,12,5,18,735274.0
41,2014-02-11,10,3,16,735275.0
42,2014-02-12,10,-3,23,735276.0
43,2014-02-13,24,16,31,735277.0
44,2014-02-14,23,19,27,735278.0
45,2014-02-15,11,1,21,735279.0
46,2014-02-16,14,4,23,735280.0
47,2014-02-17,11,2,20,735281.0
48,2014-02-18,29,16,42,735282.0
49,2014-02-19,37,30,44,735283.0
50,2014-02-20,36,29,43,735284.0
51,2014-02-21,37,29,45,735285.0
52,2014-02-22,28,23,33,735286.0
53,2014-02-23,22,18,26,735287.0
54,2014-02-24,18,14,22,735288.0
55,2014-02-25,16,9,22,735289.0
56,2014-02-26,8,1,14,735290.0
57,2014-02-27,2,-8,12,735291.0
58,2014-02-28,4,-11,18,735292.0
59,2014-03-01,19,13,24,735293.0
60,2014-03-02,7,-1,14,735294.0
61,2014-03-03,2,-9,13,735295.0
62,2014-03-04,12,5,19,735296.0
63,2014-03-05,14,7,20,735297.0
64,2014-03-06,15,0,29,735298.0
65,2014-03-07,29,13,44,735299.0
66,2014-03-08,30,20,39,735300.0
67,2014-03-09,24,12,36,735301.0
68,2014-03-10,43,36,50,735302.0
69,2014-03-11,41,35,47,735303.0
70,2014-03-12,21,7,35,735304.0
71,2014-03-13,10,-5,25,735305.0
72,2014-03-14,36,22,49,735306.0
73,2014-03-15,29,19,38,735307.0
74,2014-03-16,15,8,22,735308.0
75,2014-03-17,19,6,31,735309.0
76,2014-03-18,34,22,45,735310.0
77,2014-03-19,38,32,44,735311.0
78,2014-03-20,31,25,37,735312.0
79,2014-03-21,31,19,43,735313.0
80,2014-03-22,30,21,39,735314.0
81,2014-03-23,19,12,25,735315.0
82,2014-03-24,21,11,30,735316.0
83,2014-03-25,22,14,29,735317.0
84,2014-03-26,21,9,32,735318.0
85,2014-03-27,37,30,44,735319.0
86,2014-03-28,41,32,49,735320.0
87,2014-03-29,32,26,38,735321.0
88,2014-03-30,36,23,49,735322.0
89,2014-03-31,46,31,60,735323.0
90,2014-04-01,44,34,54,735324.0
91,2014-04-02,40,28,51,735325.0
92,2014-04-03,37,33,41,735326.0
93,2014-04-04,40,33,46,735327.0
94,2014-04-05,39,30,48,735328.0
95,2014-04-06,41,26,55,735329.0
96,2014-04-07,43,31,55,735330.0
97,2014-04-08,49,36,61,735331.0
98,2014-04-09,45,31,58,735332.0
99,2014-04-10,54,41,67,735333.0
100,2014-04-11,50,33,66,735334.0
101,2014-04-12,56,39,72,735335.0
102,2014-04-13,61,50,72,735336.0
103,2014-04-14,46,27,64,735337.0
104,2014-04-15,29,24,34,735338.0
105,2014-04-16,34,21,46,735339.0
106,2014-04-17,49,32,66,735340.0
107,2014-04-18,50,38,61,735341.0
108,2014-04-19,45,30,60,735342.0
109,2014-04-20,56,38,73,735343.0
110,2014-04-21,67,56,78,735344.0
111,2014-04-22,46,35,57,735345.0
112,2014-04-23,44,31,56,735346.0
113,2014-04-24,48,37,58,735347.0
114,2014-04-25,51,41,60,735348.0
