,coolingdegreedays,coolingdegreedaysnormal,date,fog,gdegreedays,hail,heatingdegreedays,heatingdegreedaysnormal,humidity,maxdewpti,maxdewptm,maxhumidity,maxpressurei,maxpressurem,maxtempi,maxtempm,maxvisi,maxvism,maxwspdi,maxwspdm,meandewpti,meandewptm,meanpressurei,meanpressurem,meantempi,meantempm,meanvisi,meanvism,meanwdird,meanwdire,meanwindspdi,meanwindspdm,mindewpti,mindewptm,minhumidity,minpressurei,minpressurem,mintempi,mintempm,minvisi,minvism,minwspdi,minwspdm,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,monthtodatesnowfalli,monthtodatesnowfallm,precipi,precipm,precipsource,rain,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,since1julsnowfalli,since1julsnowfallm,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,snow,snowdepthi,snowdepthm,snowfalli,snowfallm,thunder,tornado
0,0,,2017-01-01,0,0,0,34,,,22,-6,81,30.25,1024,42,6,10,16,13,21,19,-7,30.11,1020,32,0,10,16,221,,7,11,17,-8,35,29.91,1013,21,-6,9,14,0,0,,,,,,,0.00,0.00,,0,,,,,,,,,,,0,,,0.00,0.00,0,0
1,0,,2017-01-02,0,0,0,31,,,35,2,93,30.25,1024,44,7,10,16,14,23,27,-3,30.13,1020,34,1,7,11,90,,6,10,19,-7,34,29.94,1014,24,-4,2,4,0,0,,,,,,,0.39,9.91,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
2,0,,2017-01-03,1,0,0,29,,,36,2,97,29.94,1014,37,3,8,13,20,32,34,1,29.76,1008,36,2,2,4,340,,7,11,32,0,85,29.66,1004,35,2,0,0,0,0,,,,,,,0.01,0.25,,1,,,,,,,,,,,0,,,0.00,0.00,0,0
3,0,,2017-01-04,0,0,0,48,,,31,-1,85,29.95,1014,19,-7,10,16,29,47,10,-12,29.82,1010,17,-8,4,6,280,,20,32,7,-14,49,29.66,1004,15,-9,1,1,10,16,,,,,,,0.00,0.00,,0,,,,,,,,,,,1,,,0.00,0.00,0,0
4,0,,2017-01-05,0,0,0,54,,,7,-14,74,30.07,1018,14,-10,10,16,20,32,3,-16,29.96,1014,10,-12,8,13,284,,12,19,-1,-18,44,29.90,1012,7,-14,2,2,5,8,,,,,,,0.00,0.00,,0,,,,,,,,,,,1,,,0.00,0.00,0,0
5,0,,2017-01-06,0,0,0,56,,,3,-16,80,30.38,1029,15,-9,10,16,16,26,1,-17,30.19,1022,9,-13,8,13,258,,8,13,-2,-19,44,30.01,1016,3,-16,1,2,4,6,,,,,,,0.00,0.00,,0,,,,,,,,,,,1,,,0.00,0.00,0,0
6,0,,2017-01-07,0,0,0,56,,,8,-13,84,30.50,1033,14,-10,10,16,20,32,4,-16,30.39,1029,8,-13,4,6,260,,9,14,-2,-19,61,30.34,1027,3,-16,0,1,5,8,,,,,,,0.01,0.25,,0,,,,,,,,,,,1,,,0.00,0.00,0,0
7,0,0,2017-01-08,0,0,0,53,41,,7,-14,76,30.69,1039,17,-8,10,16,20,32,3,-16,30.61,1036,12,-11,10,16,263,,10,16,-1,-18,53,30.51,1033,6,-14,10,16,5,8,0,0,351,328,0.90,2.29,T,T,,0,0,0,2468,2880,17.00,43.18,,,,,0,0.00,0.00,T,T,0,0
8,0,0,2017-01-09,1,0,0,44,41,,22,-6,68,30.52,1033,27,-3,10,16,20,32,13,-11,30.31,1026,21,-6,8,13,189,,13,21,4,-16,49,30.15,1021,15,-9,0,1,8,13,0,0,395,369,1.50,3.81,0.06,1.52,,0,0,0,2512,2921,17.60,44.70,,,,,1,0.00,0.00,0.60,1.52,0,0
9,0,0,2017-01-10,1,0,0,28,42,,43,6,92,30.14,1021,47,8,10,16,40,64,30,-1,29.77,1008,37,3,4,7,177,,21,33,22,-6,81,29.30,992,26,-3,0,1,10,16,0,0,423,411,3.60,9.14,0.45,11.43,,1,0,0,2540,2963,19.70,50.04,,,,,1,0.00,0.00,2.10,5.33,0,0
10,0,0,2017-01-11,0,0,0,27,42,,45,7,92,30.02,1016,48,9,10,16,38,61,33,1,29.80,1009,38,3,7,11,195,,14,22,21,-6,54,29.65,1004,27,-3,2,2,5,8,0,0,450,453,3.60,9.14,0.66,16.76,,1,0,0,2567,3005,19.70,50.04,,,,,0,0.00,0.00,0.00,0.00,1,0
11,0,0,2017-01-12,0,0,0,34,42,,34,1,96,30.41,1030,37,3,10,16,21,34,26,-3,29.97,1015,31,-1,6,9,347,,9,15,14,-10,68,29.71,1006,24,-4,1,2,5,8,0,0,484,495,3.70,9.40,0.10,2.54,,1,0,0,2601,3047,19.80,50.29,,,,,1,0.00,0.00,0.10,0.25,0,0
12,0,0,2017-01-13,0,0,0,44,42,,12,-11,74,30.82,1044,24,-4,10,16,16,26,10,-12,30.72,1040,21,-6,10,16,359,,6,10,7,-14,61,30.46,1031,17,-8,10,16,0,0,0,0,528,537,3.70,9.40,0.00,0.00,,0,0,0,2645,3089,19.80,50.29,,,,,0,T,T,0.00,0.00,0,0
13,0,0,2017-01-14,0,0,0,40,42,,20,-7,77,30.71,1040,30,-1,10,16,9,14,16,-9,30.53,1034,25,-4,10,16,194,,4,7,12,-11,63,30.43,1030,20,-7,7,11,0,0,0,0,568,579,3.70,9.40,0.00,0.00,,0,0,0,2685,3131,19.80,50.29,,,,,0,0.00,0.00,0.00,0.00,0,0
14,0,0,2017-01-15,0,0,0,40,42,,23,-5,92,30.47,1032,35,2,10,16,12,19,17,-8,30.43,1030,25,-4,6,10,222,,3,4,11,-12,56,30.37,1028,15,-9,2,4,0,0,0,0,608,621,3.70,9.40,0.00,0.00,,0,0,0,2725,3173,19.80,50.29,,,,,0,0.00,0.00,0.00,0.00,0,0
15,0,0,2017-01-16,0,0,0,37,42,,31,-1,89,30.37,1028,34,1,6,10,13,21,25,-4,30.26,1025,28,-2,4,7,128,,6,9,17,-8,69,30.03,1017,21,-6,2,4,0,0,0,0,645,663,3.70,9.40,0.36,9.14,,1,0,0,2762,3215,19.80,50.29,,,,,0,0.00,0.00,T,T,0,0
16,0,0,2017-01-17,1,0,0,29,42,,36,2,96,30.03,1017,39,4,9,14,17,27,34,1,29.85,1011,36,2,3,4,183,,8,12,31,-1,85,29.76,1008,33,1,0,0,0,0,0,0,674,705,3.70,9.40,0.47,11.94,,1,0,0,2791,3257,19.80,50.29,,,,,0,0.00,0.00,0.00,0.00,0,0
17,0,0,2017-01-18,0,0,0,29,42,,34,1,92,30.11,1020,39,4,10,16,18,29,33,1,30.04,1017,36,2,6,9,254,,12,19,29,-2,79,29.92,1013,33,1,2,3,9,14,0,0,703,747,3.70,9.40,0.00,0.00,,0,0,0,2820,3299,19.80,50.29,,,,,0,0.00,0.00,0.00,0.00,0,0
18,0,0,2017-01-19,0,0,0,28,42,,32,0,89,30.09,1019,41,5,10,16,16,26,30,-1,30.01,1016,37,3,8,12,190,,8,12,28,-2,70,29.88,1012,33,1,4,6,4,6,0,0,731,789,3.70,9.40,0.00,0.00,,0,0,0,2848,3341,19.80,50.29,,,,,0,0.00,0.00,0.00,0.00,0,0
