,date,meantempi,mintempi,maxtempi,datenumber
288,2015-10-16,43,34,51,735887.0
289,2015-10-17,38,29,47,735888.0
290,2015-10-18,41,29,52,735889.0
291,2015-10-19,52,36,68,735890.0
292,2015-10-20,65,55,74,735891.0
293,2015-10-21,62,53,71,735892.0
294,2015-10-22,54,44,64,735893.0
295,2015-10-23,48,36,59,735894.0
296,2015-10-24,60,50,70,735895.0
297,2015-10-25,50,40,60,735896.0
298,2015-10-26,46,32,60,735897.0
299,2015-10-27,50,39,61,735898.0
300,2015-10-28,52,44,60,735899.0
301,2015-10-29,41,37,44,735900.0
302,2015-10-30,45,39,51,735901.0
303,2015-10-31,47,43,50,735902.0
304,2015-11-01,49,39,59,735903.0
305,2015-11-02,56,38,73,735904.0
306,2015-11-03,61,45,77,735905.0
307,2015-11-04,62,47,76,735906.0
308,2015-11-05,65,56,73,735907.0
309,2015-11-06,56,46,66,735908.0
310,2015-11-07,42,32,52,735909.0
311,2015-11-08,39,27,51,735910.0
312,2015-11-09,43,30,55,735911.0
313,2015-11-10,45,37,52,735912.0
314,2015-11-11,45,29,61,735913.0
315,2015-11-12,48,42,53,735914.0
316,2015-11-13,39,35,43,735915.0
317,2015-11-14,41,30,51,735916.0
318,2015-11-15,54,43,64,735917.0
319,2015-11-16,51,38,64,735918.0
320,2015-11-17,55,46,63,735919.0
321,2015-11-18,59,55,62,735920.0
322,2015-11-19,48,40,55,735921.0
323,2015-11-20,38,31,44,735922.0
324,2015-11-21,31,26,36,735923.0
325,2015-11-22,26,21,31,735924.0
326,2015-11-23,27,21,32,735925.0
327,2015-11-24,33,24,41,735926.0
328,2015-11-25,41,32,50,735927.0
329,2015-11-26,53,46,59,735928.0
330,2015-11-27,46,32,60,735929.0
331,2015-11-28,29,23,35,735930.0
332,2015-11-29,29,18,39,735931.0
333,2015-11-30,33,22,44,735932.0
334,2015-12-01,39,31,47,735933.0
335,2015-12-02,35,27,42,735934.0
336,2015-12-03,37,30,44,735935.0
337,2015-12-04,41,31,50,735936.0
338,2015-12-05,36,28,44,735937.0
339,2015-12-06,39,27,50,735938.0
340,2015-12-07,32,26,37,735939.0
341,2015-12-08,40,34,45,735940.0
342,2015-12-09,43,36,49,735941.0
343,2015-12-10,48,38,58,735942.0
344,2015-12-11,44,37,51,735943.0
345,2015-12-12,48,39,56,735944.0
346,2015-12-13,55,47,63,735945.0
347,2015-12-14,53,46,60,735946.0
348,2015-12-15,42,38,46,735947.0
349,2015-12-16,45,39,50,735948.0
350,2015-12-17,36,31,41,735949.0
351,2015-12-18,28,22,33,735950.0
352,2015-12-19,26,22,30,735951.0
353,2015-12-20,33,22,44,735952.0
354,2015-12-21,45,40,49,735953.0
355,2015-12-22,42,34,49,735954.0
356,2015-12-23,50,39,60,735955.0
357,2015-12-24,49,39,59,735956.0
358,2015-12-25,37,27,47,735957.0
359,2015-12-26,33,26,40,735958.0
360,2015-12-27,35,30,39,735959.0
361,2015-12-28,29,25,32,735960.0
362,2015-12-29,36,32,40,735961.0
363,2015-12-30,32,31,33,735962.0
364,2015-12-31,30,28,31,735963.0
