,date,meantempi,mintempi,maxtempi,datenumber
0,2015-01-01,24,19,29,735599.0
1,2015-01-02,28,22,34,735600.0
2,2015-01-03,28,22,33,735601.0
3,2015-01-04,23,14,32,735602.0
4,2015-01-05,9,4,14,735603.0
5,2015-01-06,11,5,17,735604.0
6,2015-01-07,7,1,13,735605.0
7,2015-01-08,6,-1,13,735606.0
8,2015-01-09,9,3,15,735607.0
9,2015-01-10,9,2,16,735608.0
10,2015-01-11,24,16,31,735609.0
11,2015-01-12,17,6,27,735610.0
12,2015-01-13,4,-8,15,735611.0
13,2015-01-14,4,-12,19,735612.0
14,2015-01-15,21,11,31,735613.0
15,2015-01-16,25,18,32,735614.0
16,2015-01-17,31,17,45,735615.0
17,2015-01-18,36,32,39,735616.0
18,2015-01-19,31,28,33,735617.0
19,2015-01-20,28,25,31,735618.0
20,2015-01-21,25,22,28,735619.0
21,2015-01-22,25,20,30,735620.0
22,2015-01-23,27,21,32,735621.0
23,2015-01-24,31,25,37,735622.0
24,2015-01-25,24,15,33,735623.0
25,2015-01-26,17,8,26,735624.0
26,2015-01-27,20,12,27,735625.0
27,2015-01-28,20,8,31,735626.0
28,2015-01-29,28,23,32,735627.0
29,2015-01-30,20,16,23,735628.0
30,2015-01-31,25,16,33,735629.0
31,2015-02-01,22,14,30,735630.0
32,2015-02-02,10,4,15,735631.0
33,2015-02-03,15,5,24,735632.0
34,2015-02-04,18,9,26,735633.0
35,2015-02-05,6,-6,17,735634.0
36,2015-02-06,20,10,29,735635.0
37,2015-02-07,33,26,39,735636.0
38,2015-02-08,29,20,37,735637.0
39,2015-02-09,17,11,22,735638.0
40,2015-02-10,14,-1,28,735639.0
41,2015-02-11,25,18,32,735640.0
42,2015-02-12,13,2,24,735641.0
43,2015-02-13,9,-3,20,735642.0
44,2015-02-14,11,0,22,735643.0
45,2015-02-15,-6,-13,1,735644.0
46,2015-02-16,-1,-13,10,735645.0
47,2015-02-17,13,4,21,735646.0
48,2015-02-18,6,-2,13,735647.0
49,2015-02-19,-2,-10,5,735648.0
50,2015-02-20,-1,-16,13,735649.0
51,2015-02-21,21,13,28,735650.0
52,2015-02-22,13,1,24,735651.0
53,2015-02-23,0,-13,12,735652.0
54,2015-02-24,14,5,23,735653.0
55,2015-02-25,11,0,21,735654.0
56,2015-02-26,4,-4,12,735655.0
57,2015-02-27,4,-11,18,735656.0
58,2015-02-28,11,0,21,735657.0
59,2015-03-01,16,5,26,735658.0
60,2015-03-02,24,17,30,735659.0
61,2015-03-03,28,21,34,735660.0
62,2015-03-04,21,11,30,735661.0
63,2015-03-05,8,-1,17,735662.0
64,2015-03-06,13,2,23,735663.0
65,2015-03-07,30,16,44,735664.0
66,2015-03-08,35,27,42,735665.0
67,2015-03-09,36,24,47,735666.0
68,2015-03-10,40,33,47,735667.0
69,2015-03-11,41,30,51,735668.0
70,2015-03-12,38,28,47,735669.0
71,2015-03-13,43,28,58,735670.0
72,2015-03-14,42,36,48,735671.0
73,2015-03-15,40,27,53,735672.0
74,2015-03-16,58,46,70,735673.0
75,2015-03-17,36,25,47,735674.0
76,2015-03-18,36,23,48,735675.0
77,2015-03-19,33,23,43,735676.0
78,2015-03-20,41,28,53,735677.0
79,2015-03-21,39,27,51,735678.0
80,2015-03-22,28,19,36,735679.0
81,2015-03-23,28,21,34,735680.0
82,2015-03-24,29,14,44,735681.0
83,2015-03-25,39,29,48,735682.0
84,2015-03-26,35,28,41,735683.0
85,2015-03-27,23,15,30,735684.0
86,2015-03-28,24,11,36,735685.0
87,2015-03-29,33,21,44,735686.0
88,2015-03-30,45,34,56,735687.0
89,2015-03-31,42,34,49,735688.0
90,2015-04-01,45,25,65,735689.0
91,2015-04-02,53,43,63,735690.0
92,2015-04-03,40,28,51,735691.0
93,2015-04-04,36,21,51,735692.0
94,2015-04-05,46,35,56,735693.0
95,2015-04-06,49,33,64,735694.0
96,2015-04-07,45,35,54,735695.0
97,2015-04-08,39,36,42,735696.0
98,2015-04-09,52,37,67,735697.0
99,2015-04-10,54,39,68,735698.0
100,2015-04-11,45,31,59,735699.0
101,2015-04-12,53,38,68,735700.0
102,2015-04-13,54,45,62,735701.0
103,2015-04-14,52,35,68,735702.0
104,2015-04-15,52,37,66,735703.0
105,2015-04-16,52,41,62,735704.0
106,2015-04-17,58,40,76,735705.0
107,2015-04-18,58,45,70,735706.0
108,2015-04-19,55,39,70,735707.0
109,2015-04-20,51,42,60,735708.0
110,2015-04-21,42,38,46,735709.0
111,2015-04-22,36,33,39,735710.0
112,2015-04-23,36,30,42,735711.0
113,2015-04-24,41,25,57,735712.0
114,2015-04-25,47,37,57,735713.0
115,2015-04-26,44,28,60,735714.0
116,2015-04-27,46,36,55,735715.0
117,2015-04-28,48,33,63,735716.0
118,2015-04-29,51,36,66,735717.0
119,2015-04-30,49,35,63,735718.0
120,2015-05-01,56,39,73,735719.0
121,2015-05-02,59,42,75,735720.0
122,2015-05-03,66,52,80,735721.0
123,2015-05-04,67,58,75,735722.0
124,2015-05-05,53,48,58,735723.0
125,2015-05-06,63,52,73,735724.0
126,2015-05-07,71,57,85,735725.0
127,2015-05-08,73,62,83,735726.0
128,2015-05-09,66,59,73,735727.0
129,2015-05-10,58,51,64,735728.0
130,2015-05-11,60,49,71,735729.0
131,2015-05-12,51,46,56,735730.0
132,2015-05-13,48,38,57,735731.0
133,2015-05-14,51,37,65,735732.0
134,2015-05-15,62,50,73,735733.0
135,2015-05-16,66,55,77,735734.0
136,2015-05-17,73,64,81,735735.0
137,2015-05-18,69,54,83,735736.0
138,2015-05-19,47,39,54,735737.0
139,2015-05-20,47,34,59,735738.0
140,2015-05-21,55,45,64,735739.0
141,2015-05-22,56,44,67,735740.0
142,2015-05-23,59,41,76,735741.0
143,2015-05-24,65,55,75,735742.0
144,2015-05-25,73,65,81,735743.0
145,2015-05-26,74,65,82,735744.0
146,2015-05-27,67,57,77,735745.0
147,2015-05-28,66,52,80,735746.0
148,2015-05-29,73,62,84,735747.0
149,2015-05-30,62,50,74,735748.0
150,2015-05-31,49,45,52,735749.0
151,2015-06-01,53,41,64,735750.0
152,2015-06-02,56,39,72,735751.0
153,2015-06-03,60,45,75,735752.0
154,2015-06-04,69,57,80,735753.0
155,2015-06-05,65,58,72,735754.0
156,2015-06-06,62,50,73,735755.0
157,2015-06-07,66,53,78,735756.0
158,2015-06-08,72,62,81,735757.0
159,2015-06-09,67,56,77,735758.0
160,2015-06-10,73,61,85,735759.0
161,2015-06-11,65,56,74,735760.0
162,2015-06-12,63,56,69,735761.0
163,2015-06-13,65,57,72,735762.0
164,2015-06-14,74,67,80,735763.0
165,2015-06-15,74,67,81,735764.0
166,2015-06-16,71,63,79,735765.0
167,2015-06-17,66,55,76,735766.0
168,2015-06-18,71,64,78,735767.0
169,2015-06-19,64,55,72,735768.0
170,2015-06-20,66,52,79,735769.0
171,2015-06-21,74,65,83,735770.0
172,2015-06-22,72,61,82,735771.0
173,2015-06-23,70,62,77,735772.0
174,2015-06-24,67,54,80,735773.0
175,2015-06-25,68,61,75,735774.0
176,2015-06-26,67,58,76,735775.0
177,2015-06-27,61,56,66,735776.0
178,2015-06-28,66,55,77,735777.0
179,2015-06-29,69,59,78,735778.0
180,2015-06-30,66,59,72,735779.0
181,2015-07-01,64,57,70,735780.0
182,2015-07-02,64,54,73,735781.0
183,2015-07-03,63,48,77,735782.0
184,2015-07-04,66,52,80,735783.0
185,2015-07-05,70,57,83,735784.0
186,2015-07-06,72,61,83,735785.0
187,2015-07-07,65,54,76,735786.0
188,2015-07-08,59,50,67,735787.0
189,2015-07-09,68,60,76,735788.0
190,2015-07-10,68,55,80,735789.0
191,2015-07-11,69,57,81,735790.0
192,2015-07-12,73,65,81,735791.0
193,2015-07-13,72,62,82,735792.0
194,2015-07-14,71,65,77,735793.0
195,2015-07-15,64,54,73,735794.0
196,2015-07-16,64,52,76,735795.0
197,2015-07-17,76,64,87,735796.0
198,2015-07-18,77,69,85,735797.0
199,2015-07-19,74,64,84,735798.0
200,2015-07-20,72,60,83,735799.0
201,2015-07-21,70,60,79,735800.0
202,2015-07-22,67,55,78,735801.0
203,2015-07-23,71,57,84,735802.0
204,2015-07-24,73,60,86,735803.0
205,2015-07-25,77,67,86,735804.0
206,2015-07-26,74,60,87,735805.0
207,2015-07-27,76,62,89,735806.0
208,2015-07-28,76,63,89,735807.0
209,2015-07-29,78,68,88,735808.0
210,2015-07-30,75,64,86,735809.0
211,2015-07-31,75,64,86,735810.0
212,2015-08-01,72,60,83,735811.0
213,2015-08-02,77,61,92,735812.0
214,2015-08-03,71,62,79,735813.0
215,2015-08-04,70,59,80,735814.0
216,2015-08-05,67,56,78,735815.0
217,2015-08-06,69,59,79,735816.0
218,2015-08-07,68,57,79,735817.0
219,2015-08-08,69,64,73,735818.0
220,2015-08-09,75,66,84,735819.0
221,2015-08-10,72,64,79,735820.0
222,2015-08-11,71,62,80,735821.0
223,2015-08-12,67,56,77,735822.0
224,2015-08-13,72,60,84,735823.0
225,2015-08-14,76,67,85,735824.0
226,2015-08-15,75,63,87,735825.0
227,2015-08-16,78,68,88,735826.0
228,2015-08-17,79,70,87,735827.0
229,2015-08-18,75,66,84,735828.0
230,2015-08-19,76,67,85,735829.0
231,2015-08-20,65,58,71,735830.0
232,2015-08-21,66,54,78,735831.0
233,2015-08-22,70,60,80,735832.0
234,2015-08-23,68,58,78,735833.0
235,2015-08-24,64,56,71,735834.0
236,2015-08-25,58,54,62,735835.0
237,2015-08-26,62,56,67,735836.0
238,2015-08-27,59,49,68,735837.0
239,2015-08-28,63,49,76,735838.0
240,2015-08-29,66,62,69,735839.0
241,2015-08-30,72,64,79,735840.0
242,2015-08-31,71,61,81,735841.0
243,2015-09-01,75,63,87,735842.0
244,2015-09-02,80,70,89,735843.0
245,2015-09-03,74,67,81,735844.0
246,2015-09-04,73,67,79,735845.0
247,2015-09-05,72,63,80,735846.0
248,2015-09-06,77,66,88,735847.0
249,2015-09-07,79,69,89,735848.0
250,2015-09-08,78,70,85,735849.0
251,2015-09-09,66,56,75,735850.0
252,2015-09-10,64,52,76,735851.0
253,2015-09-11,60,54,65,735852.0
254,2015-09-12,54,46,62,735853.0
255,2015-09-13,56,42,69,735854.0
256,2015-09-14,63,50,76,735855.0
257,2015-09-15,72,60,83,735856.0
258,2015-09-16,69,57,81,735857.0
259,2015-09-17,71,58,83,735858.0
260,2015-09-18,70,63,76,735859.0
261,2015-09-19,60,50,70,735860.0
262,2015-09-20,57,45,68,735861.0
263,2015-09-21,60,46,73,735862.0
264,2015-09-22,61,45,77,735863.0
265,2015-09-23,63,49,77,735864.0
266,2015-09-24,65,51,78,735865.0
267,2015-09-25,66,54,77,735866.0
268,2015-09-26,65,54,75,735867.0
269,2015-09-27,68,61,75,735868.0
270,2015-09-28,72,65,79,735869.0
271,2015-09-29,60,49,70,735870.0
272,2015-09-30,53,44,62,735871.0
273,2015-10-01,51,42,60,735872.0
274,2015-10-02,52,44,60,735873.0
275,2015-10-03,48,45,50,735874.0
276,2015-10-04,51,46,56,735875.0
277,2015-10-05,58,53,63,735876.0
278,2015-10-06,57,53,61,735877.0
279,2015-10-07,59,47,71,735878.0
280,2015-10-08,60,45,75,735879.0
281,2015-10-09,53,42,64,735880.0
282,2015-10-10,51,38,64,735881.0
283,2015-10-11,63,50,75,735882.0
284,2015-10-12,63,55,71,735883.0
285,2015-10-13,52,49,55,735884.0
286,2015-10-14,50,43,56,735885.0
287,2015-10-15,51,41,60,735886.0
