,date,meantempi,mintempi,maxtempi,datenumber
0,2018-01-01,8,3,12,736695.0
1,2018-01-02,10,2,18,736696.0
2,2018-01-03,10,2,17,736697.0
3,2018-01-04,5,-5,14,736698.0
4,2018-01-05,-1,-8,6,736699.0
5,2018-01-06,2,-7,11,736700.0
6,2018-01-07,18,4,31,736701.0
7,2018-01-08,33,28,37,736702.0
8,2018-01-09,29,22,36,736703.0
9,2018-01-10,39,27,50,736704.0
10,2018-01-11,55,50,59,736705.0
11,2018-01-12,31,11,50,736706.0
12,2018-01-13,12,7,16,736707.0
13,2018-01-14,8,-1,17,736708.0
14,2018-01-15,17,13,20,736709.0
15,2018-01-16,13,8,17,736710.0
16,2018-01-17,14,0,27,736711.0
17,2018-01-18,23,15,31,736712.0
18,2018-01-19,31,24,37,736713.0
19,2018-01-20,38,32,44,736714.0
20,2018-01-21,36,32,39,736715.0
21,2018-01-22,44,37,51,736716.0
22,2018-01-23,37,27,46,736717.0
23,2018-01-24,25,23,27,736718.0
24,2018-01-25,30,25,35,736719.0
25,2018-01-26,41,29,53,736720.0
26,2018-01-27,41,30,51,736721.0
27,2018-01-28,36,28,43,736722.0
28,2018-01-29,22,16,28,736723.0
29,2018-01-30,20,15,24,736724.0
30,2018-01-31,32,23,41,736725.0
31,2018-02-01,21,8,34,736726.0
32,2018-02-02,14,9,18,736727.0
33,2018-02-03,23,12,34,736728.0
34,2018-02-04,19,7,31,736729.0
35,2018-02-05,14,10,18,736730.0
36,2018-02-06,16,10,22,736731.0
37,2018-02-07,17,10,23,736732.0
38,2018-02-08,15,9,21,736733.0
39,2018-02-09,18,15,21,736734.0
40,2018-02-10,17,14,20,736735.0
41,2018-02-11,21,17,25,736736.0
42,2018-02-12,17,8,26,736737.0
43,2018-02-13,16,4,28,736738.0
44,2018-02-14,34,23,44,736739.0
45,2018-02-15,41,36,46,736740.0
46,2018-02-16,28,19,36,736741.0
47,2018-02-17,25,16,34,736742.0
48,2018-02-18,32,25,38,736743.0
49,2018-02-19,45,33,56,736744.0
50,2018-02-20,55,48,61,736745.0
51,2018-02-21,39,30,48,736746.0
52,2018-02-22,35,29,41,736747.0
53,2018-02-23,38,32,44,736748.0
54,2018-02-24,38,33,43,736749.0
55,2018-02-25,42,35,49,736750.0
56,2018-02-26,39,27,50,736751.0
57,2018-02-27,49,38,60,736752.0
58,2018-02-28,49,38,60,736753.0
59,2018-03-01,35,32,38,736754.0
